Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","6275.44","49.43","2735940","2.85","26.71","120.47","100","178.94","5.25","-3.55","49.43","11.34","71","Medical","Medical Info Systems","-3.55","3"
"3M","MMM","90803.25","176.07","3678670","3.82","9.74","22.48","84.47","1.22","1.52","18.35","182.48","141.2","188","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","526.42","10.07","642461","-2.99","-22.54","1.41","63.87","23.58","230194.59","-182.34","13.3","4.36","86","Medical","Medical - Drugs","-182.34","3"
"A. O. Smith","AOS","8243.53","59.81","1694997",".54","-4.64","-.7","16.32","-17.69",".32","13.6","80.47","55.78","80","Industrial Products","Manufacturing - Electronics","13.15","4"
"A10 Networks","ATEN","2156.34","29.95","1183739","-13.59","-17.49","9.83","62.15","55.83","11.03","23.04","38.11","16.55","88","Computer and Technology","Internet - Software","14.9","3"
"AAON","AAON","7174.65","87.59","1021778","-18.66","-18.61","-32.23","20.37","5.73","20.11","7.45","148.25","72.07","26","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5564.2","139.48","465337","7.73","-.45","18.38","94.25","55.06","18.97","5.89","143.61","71.73","69","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABB","ABBNY","179088.47","98.23","486310",".45","-7.25","-4.71","74.55","22.23","1.13","13.74","109.73","64.55","80","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","1737.59","5.69","5237509",".35","-29.84","18.05","54.49","53.13","160.56","-181.75","8.12","2.78","84","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2788.45","47.6","395391",".55","7.52","16.78","83.21","3.57","4.62","2.32","49.66","37.39","201","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4546.31","26.55","1338089","6.93","2.23","17.69","81.13","-8.51","11.87","9.24","28.06","20.06","84","Medical","Medical - Biomedical and Genetics","34.3","2"
"ACI Worldwide","ACIW","5864.85","57.69","964859","5.8","5.12","23.67","88.53","11.06","10.38","17.1","60.18","38.47","146","Computer and Technology","Computer - Software","11.51","2"
"ACM Research","ACMR","4815.98","78.65","1074175","-11.05","-19.56","32.85","53.15","83.49","15.24","10.75","126.89","23.92","90","Computer and Technology","Semiconductor Equipment - Material Services","9.48","3"
"ACV Auctions","ACVA","1401.92","8.03","2819042","6.08","10","23.54","38.11","-7.85","19.22","3.8","14.33","4.15","206","Business Services","Auction and Valuation Services","-7.97","3"
"ADEIA INC","ADEA","2801.46","25.4","1167499","-5.61","-12.98","-7.37","62.4","35.52","17.91","43.5","33.63","11.74","141","Business Services","Technology Services","26.5","3"
"ADT","ADT","5506.69","7.51","7412981","10.12","9.96","8.84","47.45","-14.35","4.72","14.42","8.85","6.3","149","Industrial Products","Security and Safety Services","11.85","3"
"ADTRAN Holdings, Inc.","ADTN","685.83","8.42","1927791","-17.04","-33.75","-42.13","9.63","-10.82","17.46","2.19","19.4","7.25","44","Computer and Technology","Communication - Components","-3.18","4"
"AECOM","ACM","9222.8","71.76","1482764","6.08","5.93","-11.92","7.26","-30.72",".21","9.55","134.35","66.86","73","Construction","Engineering - R and D Services","3.16","4"
"AES","AES","10590.39","14.85","7467080",".13","1.85","3.92","49.06","-4.69","-.37","15.68","17.28","12.51","168","Utilities","Utility - Electric Power","10.78","3"
