Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","37693.37","133.46","2199604","-.93","1.39","19.91","49.45","-10.47","6.73","22.83","157.2","110.24","169","Medical","Medical - Products","19.55","3"
"Alcoa","AA","12183.79","46.17","6626308","-4.96","-11.72","-26.08","32.08","-20.69","7.87","9.29","83.79","28.4","239","Industrial Products","Metal Products - Distribution","9.48","5"
"American Airlines","AAL","9781.89","14.79","141073376","-5.37","-15.2","30.77","57.84","-11.93",".78",".64","18.15","10.18","74","Transportation","Transportation - Airline",".36","2"
"Acadian Asset Management Inc.","AAMI","2932.98","82.32","459525","-.9","16.97","26.49","96.35","59.89","11.49","22.65","83.95","39.3","186","Finance","Financial - Miscellaneous Services","13.78","1"
"Applied Optoelectronics","AAOI","8868.43","110.52","9174036","1.31","-24.8","-27.68","44.71","189.41","82.75","-3.91","223.1","19.49","55","Computer and Technology","Electronics - Semiconductors","-8.55","3"
"AAON","AAON","8778.48","107.17","973584","-5.25","-18.56","23.94","46.07","28.3","20.11","7.45","148.25","72.07","48","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"Advance Auto Parts","AAP","3350.75","55.49","1785996","6.53","-4.23","-.48","60.32","28.89","-5.42","2.28","66.5","38.75","30","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","2"
"Apple","AAPL","4786462.5","325.89","62313708","-.49","11.19","20.62","94.02","9.43","6.43","27.15","333.74","202.38","19","Computer and Technology","Computer - Micro Computers","27.15","3"
"American Assets Trust","AAT","1489.96","24.27","370506","-4.67","-.41","18.68","80.47","17.04","-4.73","4.16","25.85","17.76","72","Finance","REIT and Equity Trust - Retail","4.16","3"
"Allied Gold Corporation","AAUC","2744.82","21.69","548307","-.87","-5.74","-28.46","49.49","-13.46","82.35","12.12","32.01","11.58","232","Basic Materials","Mining - Gold","-9.08","5"
"ABB","ABBNY","180255.28","98.87","487269","-4.45","-6.59","2.27","75.97","22.01","1.13","13.74","109.73","64.55","95","Industrial Products","Manufacturing - Electronics","13.86","3"
"AbbVie","ABBV","447528.63","253.3","8640490","3.76","7.84","24.23","89.81","1.2","8.57","28.85","261.07","184.85","232","Medical","Large Cap Pharmaceuticals","5.79","3"
"Ameris Bancorp","ABCB","6047.58","89.87","485482","-.86",".62","6.58","88","10.46","-.36","35","93.17","65.68","75","Finance","Banks - Southeast","25.73","4"
"ABCELLERA BIOLG","ABCL","1749.8","5.73","7147800","-14.99","-4.98","50","55.24","52.94","160.56","-181.75","8.12","2.78","93","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2753.89","47.01","499670","1.16","5.47","18.17","78.4","1.45","4.62","2.32","49.66","37.39","200","Business Services","Business - Services","1.75","3"
"Airbnb","ABNB","84408.82","140.05","3298667","-5.61","-3.01","-.16","76.25","-5.8","10.26","19.9","148.93","111.54","83","Consumer Discretionary","Leisure and Recreation Services","19.9","4"
"Arbor Realty Trust","ABR","969.5","5.04","3749911","-.2","-.98","-35.22","1.72","-40.71","-19.51","23.55","12.46","4.91","190","Finance","REIT and Equity Trust","12.73","5"
"Abbott Laboratories","ABT","175174.08","100.57","12930087","12.66","11.14","10.12","33.31","-26.73","5.67","19.79","136.62","82.56","169","Medical","Medical - Products","11.65","3"
"American Bitcoin Corp.","ABTC","432.51","6.1","1785369","7.96","-45.07","-64.31",".61","-78.15","801.52","-69.42","139.58","5.28","186","Finance","Financial - Miscellaneous Services","-69.42",""
"Abacus Global Management, Inc.","ABX","988","10.3","764441","-5.33","10.75","9.81","75.64","9.97","110.18","33.72","12","5.02","186","Finance","Financial - Miscellaneous Services","15.63","2"
"Arcosa","ACA","7125.35","145.13","923450",".19",".55","24.63","99.6","24.61","12.2","7.84","145.38","83.66","156","Construction","Building Products - Miscellaneous","7.88","2"
"ACADIA Pharmaceuticals","ACAD","4274.05","24.96","1737396","-3.7","6.85","12.43","61.25","-14.7","11.87","9.24","28.06","20.06","93","Medical","Medical - Biomedical and Genetics","34.3","2"
"ProFrac Holding Corp.","ACDC","915.46","5.06","1279286","1.2","-5.42","-34.12","37.4","18.74","-11.37","-21.27","8.19","3.19","95","Oils-Energy","Oil and Gas - Field Services","-24.25","4"
"Air Canada","ACDVF","4506.15","16.09","353026","-2.01","-6.45","22.92","69.79","4.69","-1.43","2.63","17.83","12.07","74","Transportation","Transportation - Airline","3.45","3"
"Accel Entertainment","ACEL","971.83","11.94","318215","-3.01","-8.58","-4.4","61.32","-4.47","8.12","5.42","13.41","9.61","182","Consumer Discretionary","Gaming","3.79","2"
