Ticker,Industry,Sector,Theme,Primary Catalyst,Catalyst Confidence,Episodic Pivot Status,Episodic Pivot Type,Neglect Evidence,Fundamental Momentum,Future Leadership Potential,Technical Rating,Business Rating,Growth Rating,Overall Conviction Rating,Classification,Primary Driver,Supporting Drivers
LMT,Aerospace & Defense,Industrials,Defense spending/backlog,"Q2 2026 EPS $7.94 vs $7.23 est; revenue $20.06B vs $19.34B est; raised FY26 guidance; record $230B backlog",Verified,Catalyst-Driven Move (Non-EP Grade),N/A,None - heavily covered defense prime,Improving,Strong Candidate,4,4,4,4,High Priority Track,Major News (earnings),"Record backlog, guidance raise, sector strength"
RTX,Aerospace & Defense,Industrials,Defense spending,Q2 2026 earnings beat (premarket gain >5% on results),Verified,Catalyst-Driven Move (Non-EP Grade),N/A,None - heavily covered defense prime,Improving,Developing Candidate,3,3,3,3,Track Daily,Major News (earnings),Sector-wide defense strength
MEDP,Diagnostics & Research,Healthcare,CRO/biopharma services,Q2 2026 beat vs consensus; raised FY26 guidance above estimates,Verified,Catalyst-Driven Move (Non-EP Grade),N/A,Partial - prior bookings concerns but regular analyst coverage,Improving,Developing Candidate,4,3,3,3,Track Daily,Major News (earnings),Guidance raise
DGX,Diagnostics & Research,Healthcare,Clinical diagnostics,Q2 2026 beat and raised FY26 guidance; double-digit revenue growth,Verified,Catalyst-Driven Move (Non-EP Grade),N/A,None - large-cap S&P 500 diagnostics leader,Strong,Developing Candidate,4,4,3,3,Track Daily,Major News (earnings),"Guidance raise, YTD strength"
URI,Rental & Leasing Services,Industrials,Construction/industrial equipment rental,Q2 2026 beat and raised FY26 sales guidance above estimates,Verified,Catalyst-Driven Move (Non-EP Grade),N/A,None - large-cap industry leader,Strong,Strong Candidate,4,4,4,4,High Priority Track,Major News (earnings),"Guidance raise, sector-leading scale"
THRM,Auto Parts,Consumer Cyclical,Automotive thermal/comfort tech,"Q2 2026 EPS $0.75 vs $0.56 est; revenue +11% YoY; raised FY26 guidance; new $400M buyback; $1B+ YTD business awards",Verified,Catalyst-Driven Move (Non-EP Grade),N/A,Partial - muted prior sentiment but regular coverage,Strong,Strong Candidate,4,4,4,4,High Priority Track,Major News (earnings),"Buyback authorization, medical-device diversification"
CLF,Steel,Basic Materials,US steel/automotive supply chain,Q2 2026 revenue beat ($5.23B vs $4.93B prior-year); $400M DLA defense contract,Verified,Catalyst-Driven Move (Non-EP Grade),N/A,None - heavily covered major steel producer,Improving,Developing Candidate,3,3,3,3,Track Daily,Major News (earnings),"Defense contract, GM Supplier of the Year"
IMAX,Entertainment,Communication Services,Premium cinema,Better-than-expected quarterly results,Verified,Catalyst-Driven Move (Non-EP Grade),N/A,Not established,Improving,Emerging Interest,3,3,3,3,Track Daily,Major News (earnings),Broader earnings-season strength
NVCR,Medical Devices,Healthcare,Oncology (Tumor Treating Fields),"Record Q2 2026 revenue $184M (+16% YoY) vs $172.4M est; raised FY26 revenue and EBITDA guidance; Optune Pax launch traction",Verified,Possible Episodic Pivot,Turnaround,"Present - stock fell ~20% on June 18 TRIDENT trial miss, securities investigation opened, insider selling followed",Strong,Strong Candidate,4,3,3,4,High Priority Track,Episodic Pivot,"Guidance raise, new-product launch traction, forward regulatory catalysts"
DOMO,Software - Application,Technology,Cloud analytics/M&A special situation,"Agreement to sell substantially all operating assets to Progress Software for $400M cash, leaving a debt-free cash/tax-asset shell",Verified,Catalyst-Driven Move (Non-EP Grade),N/A,N/A (M&A excluded from EP by guardrail),N/A (special situation),Emerging Interest,3,2,1,3,Watch,Major News (M&A),"Tax-loss carryforward value, rights plan"
