Ticker,50,20+50,50+200,GAP,VOLUME,Catalyst,Catalyst_Confidence,Classification
MLYS,Yes,No,No,No,No,None verified,Low,Watch
YOU,Yes,Yes,No,No,No,Institutional Accumulation,Medium,High Priority Track
DRS,No,Yes,No,No,No,None verified,Low,Track Daily
ENOV,No,No,Yes,No,No,None verified,Low,Watch
DECK,No,No,Yes,No,No,None verified,Low,Watch
HON,No,No,Yes,No,No,None verified,Low,Watch
IREN,No,No,No,Yes,No,None verified,Low,Track Daily
WULF,No,No,No,Yes,No,Anthropic AI lease,High,High Priority Track
CIFR,No,No,No,Yes,No,None verified,Low,Track Daily
SHAZ,No,No,No,Yes,Yes,None verified,Low,Watch
SEI,No,No,No,Yes,No,None verified,Low,Watch
AXTI,No,No,No,Yes,No,Coherent partnership,High,High Priority Track
Q,No,No,No,Yes,No,None verified,Low,Watch
VSH,No,No,No,Yes,No,None verified,Low,Watch
