Ticker,BU50,GAP,VOLUME,Today's_Catalyst,Catalyst_Confidence,Classification
OLMA,Y,N,N,Research required to identify verified same-day catalyst,Low,Track Daily
SSRM,Y,Y,N,Research required to determine whether move was company-specific or driven by gold sector strength,Medium,Watch
SRPT,Y,N,N,Research required to identify verified same-day catalyst,Low,Track Daily
NVCR,Y,N,N,Research required to identify verified same-day catalyst,Low,Watch
ASST,N,Y,N,Research required to identify verified same-day catalyst,Low,Watch
TENX,N,Y,Y,Research required to identify verified same-day catalyst,Low,Track Daily
ERO,N,Y,N,Research required to determine whether move was company-specific or copper-related sector strength,Medium,Watch
AUGO,N,Y,N,Research required to determine whether move was company-specific or gold sector strength,Medium,Watch
GFI,N,Y,N,Research required to determine whether move was company-specific or gold sector strength,Medium,Watch
NEXA,N,Y,N,Research required to determine whether move was company-specific or base metals sector strength,Medium,Watch
VOR,N,N,Y,Research required to identify verified same-day catalyst,Low,Track Daily
CCXI,N,N,Y,Research required to identify verified same-day catalyst,Low,High Priority Track
