Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","37128.51","131.46","1953551","-1.59","3.46","14.89","45.19","-9.12","6.73","22.83","157.2","110.24","169","Medical","Medical - Products","19.55","3"
"Alcoa","AA","11605.88","43.98","6050807","-9.73","-25.92","-32.72","28.13","-19.89","7.87","9.29","83.79","28.4","237","Industrial Products","Metal Products - Distribution","9.48","5"
"American Airlines","AAL","9907.55","14.98","141031776","-12.19","-6.32","27.16","60.23","-7.54",".78",".64","18.15","10.18","88","Transportation","Transportation - Airline",".36","2"
"Acadian Asset Management Inc.","AAMI","2949.73","82.79","482732","3","10.17","23.68","98.92","60.98","11.49","22.65","83.27","38.75","176","Finance","Financial - Miscellaneous Services","13.78","1"
"Applied Optoelectronics","AAOI","8217.69","102.41","9453022","-16.2","-36.73","-25.64","40.72","161.28","82.75","-3.91","223.1","19.49","40","Computer and Technology","Electronics - Semiconductors","-8.55","3"
"AAON","AAON","9126.63","111.42","842579","1.06","-18.5","12.88","51.65","34.9","20.11","7.45","148.25","72.07","47","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"Advance Auto Parts","AAP","3210.07","53.16","1683256","-3.35","-11.55","-8.6","51.93","22.84","-5.42","2.28","66.5","38.75","71","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Apple","AAPL","4901758","333.74","59963852","5.54","11.99","22.06","100","11.39","6.43","27.15","333.74","202.38","23","Computer and Technology","Computer - Micro Computers","27.15","3"
"American Assets Trust","AAT","1566.08","25.51","377974","1.76","6.07","23.24","95.8","24.08","-4.73","4.16","25.85","17.76","78","Finance","REIT and Equity Trust - Retail","4.16","2"
"Allied Gold Corporation","AAUC","2634.73","20.82","468265","-10.1","-18.8","-34.55","45.23","-16.76","82.35","12.12","32.01","11.58","228","Basic Materials","Mining - Gold","-9.08","3"
"ABB","ABBNY","179197.81","98.29","528550","-6.43","-9.39","-.28","77.16","18.67","1.13","13.74","109.73","59.64","102","Industrial Products","Manufacturing - Electronics","13.86","3"
"AbbVie","ABBV","449631.16","254.49","8821082","1.83","17.55","26.64","91.37","1.16","8.57","28.85","261.07","184.85","231","Medical","Large Cap Pharmaceuticals","5.79","3"
"Ameris Bancorp","ABCB","6211.82","92.31","495869","2.84","5.39","9.09","96.87","13.99","-.36","35","93.17","65.68","88","Finance","Banks - Southeast","25.73","4"
"ABCELLERA BIOLG","ABCL","1974.25","6.465","7454525","-11.32","16.91","59.63","69.01","63.66","160.56","-181.75","8.12","2.78","98","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2787.28","47.58","520060","7.09","7.77","17.45","83.05","3.47","4.62","2.32","49.66","37.39","209","Business Services","Business - Services","1.75","3"
"Airbnb","ABNB","87982.88","145.98","3210732","-.62","2.51","2.9","92.11","-1.05","10.26","19.9","148.93","111.54","94","Consumer Discretionary","Leisure and Recreation Services","19.9","4"
"Arbor Realty Trust","ABR","996.43","5.18","3589028","4.44","-.38","-33.5","3.58","-39.7","-19.51","23.55","12.46","4.91","201","Finance","REIT and Equity Trust","12.73","4"
"Abbott Laboratories","ABT","175365.73","100.68","11962257","6.65","13.88","8.87","33.52","-28.33","5.67","19.79","136.62","82.56","169","Medical","Medical - Products","11.65","3"
"American Bitcoin Corp.","ABTC","385.71","5.44","1633028","-9.03","-57.33","-71.2",".12","-80.54","801.52","-69.42","139.58","5.28","176","Finance","Financial - Miscellaneous Services","-69.42",""
"Abacus Global Management, Inc.","ABX","993.75","10.36","726398","-13.6","12","12.49","77.03","11.69","110.18","33.72","12","4.86","176","Finance","Financial - Miscellaneous Services","15.63","2"
"Arcosa","ACA","7119.41","145.01","1137496",".03","6.75","20.65","99.4","23.92","12.2","7.84","145.38","83.66","157","Construction","Building Products - Miscellaneous","7.88","2"
"ACADIA Pharmaceuticals","ACAD","4383.64","25.6","1721367","-3.07","18.41","15.78","69.25","-12.81","11.87","9.24","28.06","20.06","98","Medical","Medical - Biomedical and Genetics","34.3","3"
"Air Canada","ACDVF","4520.15","16.14","354266","-8.24","-5.61","21.44","70.66","7.06","-1.43","2.63","17.83","12.07","88","Transportation","Transportation - Airline","3.45","3"
"Accel Entertainment","ACEL","988.92","12.15","304471","-2.8","-6.25","-.74","66.84","-.85","8.12","5.42","13.41","9.61","197","Consumer Discretionary","Gaming","3.79","3"
