Narrative_Theme,Benchmark_ETF_Theme
AI Infrastructure,Artificial Intelligence
AI Accelerators,Artificial Intelligence
AI Compute,Artificial Intelligence
AI ASIC,Artificial Intelligence
AI Servers,Artificial Intelligence
AI Networking,Artificial Intelligence
AI Connectivity,Artificial Intelligence
AI Sensors,Artificial Intelligence
Autonomous Driving AI,Artificial Intelligence
AI Power Infrastructure,Artificial Intelligence
AI Platform,Artificial Intelligence
Semiconductor Equipment,Semiconductors
Semiconductor Analytics,Semiconductors
Semiconductor Testing,Semiconductors
Memory,Semiconductors
Wireless Chips,Semiconductors
Foundry,Semiconductors
Optical Networking,Semiconductors
Data Storage,Semiconductors
Cloud Infrastructure,Cloud Computing
Enterprise Cloud,Cloud Computing
Communications Cloud,Cloud Computing
SaaS Platform,Software
Cybersecurity,Software
Data Infrastructure,Software
Developer Infrastructure,Software
Mobile Adtech,Internet
Digital Advertising,Internet
Social Media Platform,Internet
E Commerce Infrastructure,Internet
Defense Software,Aerospace & Defense
Defense Systems,Aerospace & Defense
Defense Drone Systems,Aerospace & Defense
Space Infrastructure,Aerospace & Defense
Solar Infrastructure,Infrastructure
Alternative Energy,Infrastructure
Fuel Cell Infrastructure,Infrastructure
Energy Infrastructure,Infrastructure
Natural Gas,Natural Gas
Nuclear Infrastructure,Uranium Mining
Electronics Manufacturing,Infrastructure
Integrated Energy,Energy
Oil Services,Energy Services
Digital Assets Infrastructure,Software
Retail Trading Platform,Digital Assets
Digital Banking,Banking
Digital Payments,Software
Transportation Platform,Transportation/Shipping
Delivery Platform,Transportation/Shipping
Travel Platform,Transportation/Shipping
Consumer Momentum,Broad
Industrial Automation,Infrastructure
Autonomous Mobility,Artificial Intelligence
Steel Production,Infrastructure
Aluminum Production,Infrastructure
Semiconductors,Semiconductors
Artificial Intelligence,Artificial Intelligence
Software,Software
Medical Devices,Medical Devices
Biotech,Biotech
Pharma,Pharma
Insurance,Insurance
Banking,Banking
REITs,REITs
Exploration,Exploration
Uranium Mining,Uranium Mining
Rare Earth/Lithium,Rare Earth/Lithium
Copper Mining,Copper Mining
Gold Mining,Gold Mining
Silver Mining,Silver Mining
Aerospace & Defense,Aerospace & Defense
Agribusiness,Agribusiness
Internet,Internet
Telecom,Telecom
Infrastructure,Infrastructure
Cloud Computing,Cloud Computing
Biotechnology,Biotech
Diagnostics,Medical Devices
Life Sciences Tools,Medical Devices
Healthcare Services,Healthcare
Digital Health,Software
Restaurants,Consumer Staples
Professional Services,Software
Specialty Finance / Debt Collection,Banking
Asset Management,Banking
Financial Services,Banking
IT Services,Software
Pharmaceuticals,Pharma
Refining & Marketing,Energy
Digital Assets,Software
Sports Betting Data & Technology,Internet
Leisure and Entertainment,Internet
Oilfield Chemicals & Data Analytics,Energy
