Industry,Theme,Confidence,Last_Reviewed
Technology Services,Software,HIGH,2026-07-02
Computers - IT Services,Software,HIGH,2026-07-02
Wireless National,Telecom,HIGH,2026-07-02
Wireless Equipment,Telecom,HIGH,2026-07-02
Media Conglomerates,Media Distribution,HIGH,2026-07-02
Broadcast Radio and Television,Media Distribution,HIGH,2026-07-02
Consumer Products - Staples,Consumer Staples,HIGH,2026-07-02
Waste Removal Services,Infrastructure,HIGH,2026-07-02
Electronics - Miscellaneous Products,Semiconductor Equipment,MEDIUM,2026-07-02
Financial Transaction Services,Banking,HIGH,2026-07-02
Electronics - Miscellaneous Components,Semiconductors,HIGH,2026-07-02
Leisure and Recreation Services,Leisure and Entertainment,MEDIUM,2026-07-02
Security,Cybersecurity,HIGH,2026-07-10
Financial - Miscellaneous Services,Financial Services,HIGH,2026-07-10
Business - Information Services,Business Software,MEDIUM,2026-07-10
Automotive - Original Equipment,Automotive Technology,MEDIUM,2026-07-10
Schools,Education,LOW,2026-07-10
Financial - Investment Management,Financial Services,MEDIUM,2026-07-18
Gaming,Leisure and Entertainment,MEDIUM,2026-07-25
Medical - Biomedical and Genetics,Biotech,HIGH,2026-08-10
Medical - Products,Medical Devices,HIGH,2026-08-10
Medical - Instruments,Medical Devices,HIGH,2026-08-10
Medical - Dental Supplies,Medical Devices,HIGH,2026-08-10
Medical - Generic Drugs,Pharma,HIGH,2026-08-10
Medical - Drugs,Pharma,HIGH,2026-08-10
Large Cap Pharmaceuticals,Pharma,HIGH,2026-08-10
Medical Services,Healthcare,HIGH,2026-08-10
Medical - Outpatient and Home Healthcare,Healthcare,HIGH,2026-08-10
Medical - Nursing Homes,Healthcare,HIGH,2026-08-10
Medical - HMOs,Healthcare,HIGH,2026-08-10
Internet - Software,Software,HIGH,2026-08-10
Internet - Services,Software,HIGH,2026-08-10
Internet - Commerce,Internet,HIGH,2026-08-10
Computer - Software,Software,HIGH,2026-08-10
Oil and Gas - Exploration and Production - United States,Exploration,HIGH,2026-08-10
Oil and Gas - Refining and Marketing,Energy,HIGH,2026-08-10
Oil and Gas - Integrated - United States,Energy,HIGH,2026-08-10
Coal,Energy,HIGH,2026-08-10
Insurance - Property and Casualty,Insurance,HIGH,2026-08-10
Insurance - Life Insurance,Insurance,HIGH,2026-08-10
Insurance - Multi line,Insurance,HIGH,2026-08-10
Insurance - Brokerage,Insurance,HIGH,2026-08-10
Banks - Northeast,Banking,HIGH,2026-08-10
Banks - Southeast,Banking,HIGH,2026-08-10
Banks - West,Banking,HIGH,2026-08-10
Banks - Midwest,Banking,HIGH,2026-08-10
Banks - Southwest,Banking,HIGH,2026-08-10
Banks - Foreign,Banking,HIGH,2026-08-10
Banks - Major Regional,Banking,HIGH,2026-08-10
