Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","39483.99","139.8","2200683","1.39","7.04","25.43","62.95","-7.46","6.73","22.83","157.2","110.24","157","Medical","Medical - Products","19.55","2"
"American Airlines","AAL","10618","16.04","116251248","7.29","-9.63","25.41","73.53","-5.76",".78","-.3","18.15","10.18","150","Transportation","Transportation - Airline","-.56","3"
"Acadian Asset Management Inc.","AAMI","3198.77","89.78","420978","8.36","13.43","24.04","100","72.05","11.49","24.38","89.78","39.58","157","Finance","Financial - Miscellaneous Services","15.17","1"
"Applied Optoelectronics","AAOI","8843.56","110.21","8869213","12.67","-10.66","-40.4","44.56","184.74","82.75","-3.91","223.1","19.49","41","Computer and Technology","Electronics - Semiconductors","-8.55","3"
"AAON","AAON","7581.75","92.56","1095726","-8.37","-15.35","-34.68","26.89","9.33","20.11","7.45","148.25","72.07","31","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"Advance Auto Parts","AAP","3362.22","55.68","1674632","-3.55","-1.15","7.43","66.6","27.61","-5.42","2.28","64.17","38.75","48","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Apple","AAPL","4428166","303.42","54740320","-9.94","-2.96","3.67","73.38",".52","6.43","27.27","340.08","202.38","29","Computer and Technology","Computer - Micro Computers","27.62","3"
"American Assets Trust","AAT","1465.72","23.87","394010","-1.89","-5.13","13.77","75.53","13.57","-4.73","4.09","25.85","17.76","88","Finance","REIT and Equity Trust - Retail","4.09","2"
"Allied Gold Corporation","AAUC","2417.06","19.1","903010","-8.39","-20.62","-36.21","36.81","-24.81","82.35","12.12","32.01","11.58","233","Basic Materials","Mining - Gold","-9.08","3"
"ABB","ABBNY","180711.08","99.12","483608","2.22","-7.92","-8.01","76.52","20.69","1.13","13.74","109.73","64.55","93","Industrial Products","Manufacturing - Electronics","13.86","3"
"AbbVie","ABBV","433040.94","245.1","5919909","-4.6","-3.79","20.87","75.5","-3.39","8.57","30.03","263.3","189.02","230","Medical","Large Cap Pharmaceuticals","9.8","3"
"Ameris Bancorp","ABCB","5934.53","88.19","491641","2.5","-2.91","3.69","81.73","6.95","-.36","34.33","93.17","65.91","53","Finance","Banks - Southeast","21.98","4"
"ABCELLERA BIOLG","ABCL","1780.34","5.83","5342817","11.05","-25.92","11.05","57.12","53.53","160.56","-181.75","8.12","2.78","101","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2855.23","48.74","423478",".58","9.77","23.74","92.5","3.78","4.62","2.32","49.66","37.39","198","Business Services","Business - Services","1.75","3"
"Airbnb","ABNB","90791.47","150.64","3389440","2.57","2.03","9.92","94.06","-.03","10.26","19.9","153.11","111.54","83","Consumer Discretionary","Leisure and Recreation Services","19.9","3"
"Arbor Realty Trust","ABR","962.64","5.16","3904576","1.57","3.61","-22.52","4.82","-40.11","-19.51","20.51","12.46","4.79","157","Finance","REIT and Equity Trust","6.24","4"
"Abbott Laboratories","ABT","185358.66","107.12","12360063","2.52","12.02","29.75","45.43","-23","5.67","19.79","136.62","82.56","157","Medical","Medical - Products","11.65","3"
"Abacus Global Management, Inc.","ABX","1019.66","10.63","615782","1.63","-11.42","15.17","80.37","11.98","110.18","33.72","12","5.02","157","Finance","Financial - Miscellaneous Services","15.63","2"
"Arcosa","ACA","7134.68","145.32","738894",".01","-.04","12.13","99.9","23.1","12.2","7.84","145.38","83.66","98","Construction","Building Products - Miscellaneous","7.88","3"
"ACADIA Pharmaceuticals","ACAD","4385.35","25.61","1425453",".87","-.62","17.48","69.38","-13.64","11.87","9.24","28.06","20.06","101","Medical","Medical - Biomedical and Genetics","34.3","2"
"Air Canada","ACDVF","5180.39","18.4975","327485","7.86","4.56","31.47","96.22","18.75","-1.43","2.63","18.75","12.07","150","Transportation","Transportation - Airline","3.45","3"
"Arch Capital Group","ACGL","35330.28","101.12","1830770","-2.66","-.68","7.77","75.37","-5.05","14.27","21.65","106.48","84.72","152","Finance","Insurance - Property and Casualty","24.4","3"
"Acadia Healthcare","ACHC","2847.94","30.59","3186136","-5.88","-1.61","22.31","79.02","94.16","5.04","4.14","35.61","11.68","193","Medical","Medical - Hospital","-33.44","3"
"ACI Worldwide","ACIW","5832.32","57.37","987480","-.88","2.57","35.43","87.06","8.08","10.38","17.1","60.18","38.47","88","Computer and Technology","Computer - Software","11.51","2"
"Axcelis Technologies","ACLS","4029.83","131.12","438479","2.35","-6.32","-20.57","51.19","46.99","-17.57","16.89","191.6","67.69","15","Computer and Technology","Electronics - Manufacturing Machinery","11.93","3"
"AECOM","ACM","9613.51","74.8","1517615","5.41","7.46","-5.91","11.77","-29.33",".21","9.55","134.35","66.86","90","Construction","Engineering - R and D Services","3.16","4"
