

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-08-05

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY              N/A   +2.39   +0.49   +0.64  +13.70    1.12    0.99     +1.37     +1.39     +7.67
QQQ              N/A   +2.57   -3.14   -4.07  +16.00    0.99    0.82     +0.15     -1.94     +8.34
IWM              N/A   +2.14   +1.08   +3.42  +23.43    0.99    0.81     +1.86     +2.30    +12.66
DIA              N/A   +1.37   +0.13   +3.88  +13.66    0.93    0.75     +0.61     +1.32     +6.79

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ          -0.18     3.63     4.71    -2.30
SPY vs IWM           0.25    -0.59    -2.78    -9.73
SPY vs DIA           1.02     0.36    -3.24     0.04
QQQ vs IWM           0.43    -4.22    -7.49    -7.43
QQQ vs DIA           1.20    -3.27    -7.95     2.34
IWM vs DIA           0.77     0.95    -0.46     9.77

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Cloud Computing                       [8.66]     0.16     0.23        —        —        0      1.13  —
   2  Copper Mining                         [8.01]   [8.35]     8.50        —        —      -16      5.41  Neutral -> Leading
   3  Software                              [4.68]     1.19     0.74        —        —       -3      2.43  —
   4  Copper                                  4.34     1.62     1.41        —        —       -1      0.30  —
   5  Timber                                  1.84    -2.04    -3.71        —        —       +3     -1.14  —
   6  Internet                                1.51    -0.38     0.41        —        —       -2     -0.04  Neutral -> Leading
   7  Banking                                 1.47     0.23    -1.25        —        —       -5     -0.35  —
   8  Refining & Marketing                    1.06    -4.09    -8.42        —        —       +2     -0.97  —
   9  Artificial Intelligence                 0.91     2.48   [9.00]        —        —      -17      3.27  —
  10  Aerospace & Defense                     0.69     2.31    -0.54        —        —       -8      1.22  —
  11  Brokers/ Capital Markets                0.09    -0.09    -4.05        —        —       +3     -0.94  —
  12  Regional Banks                         -0.34    -1.71    -4.44        —        —        0     -1.02  —
  13  Telecom                                -0.51     0.53     1.66        —        —      -13      1.80  —
  14  Semiconductors                         -0.95     4.55  [12.60]        —        —      -17      5.56  Lagging -> Neutral
  15  Retail                                 -0.97    -2.28    -5.48        —        —       +3     -1.57  —
  16  Transportation/Shipping                -1.06     0.34    -2.22        —        —       -7      1.11  —
  17  Medical Devices                        -1.08    -3.74    -7.99        —        —       +8     -2.69  Leading -> Neutral
  18  Media                                  -1.20    -0.64    -5.22        —        —       -8      0.68  —
  19  Pharma                                 -1.22    -0.39    -8.42        —        —       +2     -1.51  —
  20  Insurance                              -1.61    -1.67 (-10.47)        —        —       +5     -2.26  —
  21  Healthcare                             -1.79    -2.30    -7.93        —        —      +10     -3.26  —
  22  Engineering And Construction           -2.20     3.34     2.56        —        —       -2      1.33  —
  23  Biotech                                -2.36     0.96    -4.95        —        —       -2      0.01  Lagging -> Neutral
  24  Infrastructure                         -2.62     0.27     0.81        —        —       -2      0.12  —
  25  Leisure And Entertainment              -2.84    -2.38    -9.31        —        —        0     -0.91  —
  26  Mlp                                    -3.40    -3.53    -5.34        —        —       +5     -2.30  —
  27  Reits                                  -3.79    -1.76    -7.23        —        —       +1     -1.78  —
  28  Exploration                            -4.25  (-7.97)    -9.03        —        —       +7     -3.02  Leading -> Neutral
  29  Nuclear Power                          -4.56   [4.83]   [8.92]        —        —       -1      2.96  —
  30  Uranium Mining                         -5.17     3.81     6.94        —        —       +1      1.51  —
  31  Brent Oil                              -5.34  (-7.81) (-13.80)        —        —      +21     -6.63  Neutral -> Lagging
  32  Natural Gas                            -5.70    -7.54    -4.07        —        —      +11     -3.49  —
  33  Agribusiness                         (-5.91)    -1.91    -9.74        —        —       +2     -1.24  —
  34  Crude Oil                            (-7.11)  (-8.55) (-14.68)        —        —      +20     -6.44  Neutral -> Lagging
  35  Rare Earth/Lithium                  (-11.35)   [4.76]     4.71        —        —        0      3.60  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                      Leaders
                  Cybersecurity     10               8.0      80.00         178.16 FTNT, PANW, OKTA, QLYS, CRWD
                         Memory      4               4.0     100.00         152.49          MU, SNDK, SIMO, WDC
                  AI Networking      3               3.0     100.00         122.46             ANET, EXTR, CSCO
           Cloud Infrastructure      4               3.0      75.00         117.09              DDOG, SNOW, NET
                  Copper Mining     12               6.0      50.00         109.01      CRS, NUE, MT, STLD, GGB
                     AI Servers      2               2.0     100.00         108.21                    DELL, HPE
                AI Connectivity      2               2.0     100.00          97.23                    ALAB, APH
                       Software    173              37.0      21.39          94.34  DAVE, PENG, RNG, BLZE, APPS
                     AI Compute      3               2.0      66.67          83.18                     AMD, ARM
            Data Infrastructure      3               2.0      66.67          81.80                   NTAP, ESTC
                        Banking    152              26.0      17.11          71.57  SEZL, PAY, PAYS, AMTB, BUSE
Private Wireless Infrastructure      1               1.0     100.00          68.62                         ATEX
                     AI Sensors      1               1.0     100.00          67.93                         OUST
            Aerospace & Defense     38               8.0      21.05          66.03    AIR, DCO, ATI, MOG.A, HEI
       Fuel Cell Infrastructure      1               1.0     100.00          65.85                         FCEL
                        AI ASIC      1               1.0     100.00          62.38                         MRVL
                   Data Storage      1               1.0     100.00          62.38                          STX
        Semiconductor Equipment     20               4.0      20.00          56.17       GRMN, AEHR, AMAT, ICHR
                Medical Devices    264              27.0      10.23          53.17 LQDA, PGEN, ETON, ADPT, HNGE
                    Restaurants     25               4.0      16.00          50.83        CAKE, EAT, CBRL, BJRI

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
  DAVE                  Software              Leading         98     96.9725          2
  SEZL                   Banking              Leading         99     95.1700          2
  DDOG      Cloud Infrastructure              Leading         97     94.0000          2
  FTNT             Cybersecurity              Leading         97     93.5725          1
  SNOW      Cloud Infrastructure              Leading         99     93.2500          3
  PANW             Cybersecurity              Leading         98     92.4725          2
  OKTA             Cybersecurity              Leading         98     92.4725          2
   NET      Cloud Infrastructure              Leading         95     92.3000          2
   CBZ                   Unknown  Unclassified Leader         98     91.9500          2
  PENG                  Software              Leading         95     91.5725          1
   PAY                   Banking              Leading         98     91.2700          3
   RNG                  Software              Leading         98     90.9725          2
  APPS                  Software              Leading         99     90.8725          3
  BLZE                  Software              Leading         99     90.8725          3
  QLYS             Cybersecurity              Leading         95     90.4725          3
  PAYS                   Banking              Leading         95     89.9200          3
  FSLY                  Software              Leading         97     89.7725          3
  CRWD             Cybersecurity              Leading         95     89.4725         4*
  FIVN                  Software              Leading         95     89.2725          3
  PRCH                  Software              Leading         97     88.7725         4*
  NTAP       Data Infrastructure              Leading         97     88.7725         4*
  LQDA           Medical Devices              Neutral         98     88.5875          1
   CRS             Copper Mining              Leading         90     88.5125          1
  ZETA                  Software              Leading         90     87.7225          3
  EFOR                  Software              Leading         95     87.6725          1
  PGEN           Medical Devices              Neutral         97     87.1375          1
   GCT                  Software              Leading         90     87.1225          3
     S             Cybersecurity              Leading         90     87.1225          3
    BB                  Software              Leading         90     86.8725          2
  TENB             Cybersecurity              Leading         90     86.5225          3
  AMTB                   Banking              Leading         90     86.4700          1
   NUE             Copper Mining              Leading         90     86.2125          3
   VIK Leisure and Entertainment  Unclassified Leader         90     85.7500          2
  GENI                   Unknown  Unclassified Leader         90     85.7500          2
  ETON           Medical Devices              Neutral         98     85.6875          3
  ADPT           Medical Devices              Neutral         98     85.6875          3
   CDW                  Software              Leading         90     85.3225          3
  HNGE           Medical Devices              Neutral         90     84.4875          1
  AGEN           Medical Devices              Neutral         99     84.4375          3
  CDNA           Medical Devices              Neutral         99     84.4375          3
  VCTR                   Banking              Leading         80     84.2700          1
  BFLY           Medical Devices              Neutral         99     83.8875          2
  TWST           Medical Devices              Neutral         99     83.8375          3
  CORT           Medical Devices              Neutral         99     83.5375          3
   NEO           Medical Devices              Neutral         98     83.3375          2
  SEPN           Medical Devices              Neutral         95     83.0375         4*
    GH           Medical Devices              Neutral         95     82.8375          3
   TXG           Medical Devices              Neutral         99     82.6875          2
  KNSA           Medical Devices              Neutral         90     82.1875          3
  BLFS           Medical Devices              Neutral         95     81.6875          2
  MANH                  Software              Leading         80     81.6725          2
  ITGR           Medical Devices              Neutral         97     81.2375          3
