

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-08-04

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY              N/A   +3.05   +0.84   +0.81  +13.78    1.10    0.96     +0.94     +0.91     +7.21
QQQ              N/A   +3.11   -2.05   -2.88  +16.15    0.97    0.81     -0.45     -2.51     +7.86
IWM              N/A   +2.76   +1.95   +4.94  +22.10    0.96    0.78     +1.57     +1.98    +12.31
DIA              N/A   +2.06   +0.61   +3.92  +14.45    0.95    0.76     +0.85     +1.61     +7.09

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ          -0.06     2.89     3.69    -2.37
SPY vs IWM           0.29    -1.11    -4.13    -8.32
SPY vs DIA           0.99     0.23    -3.11    -0.67
QQQ vs IWM           0.35    -4.00    -7.82    -5.95
QQQ vs DIA           1.05    -2.66    -6.80     1.70
IWM vs DIA           0.70     1.34     1.02     7.65

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Cloud Computing                       [9.63]     0.75   [5.46]        —        —       -1     -0.38  —
   2  Software                              [5.92]     1.31   [5.43]        —        —       -1     -1.12  —
   3  Copper Mining                         [5.07]     4.93     4.34        —        —       -1     -0.48  —
   4  Refining & Marketing                    4.18    -5.28    -4.48        —        —       +1     -4.31  —
   5  Copper                                  3.02    -0.57     1.19        —        —       -2     -0.87  Neutral -> Leading
   6  Timber                                  2.74    -2.23     0.51        —        —       -2     -1.09  —
   7  Internet                                1.85     0.10     2.91        —        —       -8      0.14  —
   8  Artificial Intelligence                 1.70   [6.66]   [5.85]        —        —       -5      3.39  Lagging -> Neutral
   9  Banking                                 0.89    -1.21    -1.48        —        —       -1     -0.86  —
  10  Telecom                                 0.76     3.05     0.81        —        —       -4      1.25  —
  11  Exploration                             0.70    -5.52    -2.18        —        —       +1     -2.50  —
  12  Regional Banks                          0.35    -1.18    -0.26        —        —       -6     -0.16  —
  13  Media                                   0.12     0.06    -2.30        —        —        0     -0.62  —
  14  Semiconductors                          0.06   [9.65]     5.03        —        —       -1      4.09  —
  15  Medical Devices                        -0.03    -3.57     0.80        —        —       -3     -0.88  Neutral -> Leading
  16  Retail                                 -0.26    -2.25    -0.19        —        —       -3     -0.68  —
  17  Transportation/Shipping                -0.29     1.33    -0.73        —        —       -2      0.22  —
  18  Aerospace & Defense                    -0.40     0.77    -3.59        —        —       +1     -0.45  —
  19  Brokers/ Capital Markets               -0.76    -3.81    -4.54        —        —       +5     -2.87  —
  20  Leisure And Entertainment              -1.37    -3.79    -2.56        —        —       +6     -2.88  —
  21  Natural Gas                            -1.65     1.13    -1.02        —        —      -18      4.62  —
  22  Mlp                                    -2.17    -3.60    -3.63        —        —       -2     -1.30  —
  23  Insurance                              -2.20  (-5.75)    -6.73        —        —       +9     -3.49  —
  24  Pharma                                 -2.34    -4.92  (-7.02)        —        —       +9     -3.41  —
  25  Healthcare                             -2.75    -5.68    -6.67        —        —       +3     -2.42  —
  26  Infrastructure                         -2.77     0.83    -0.70        —        —       -1      0.71  Lagging -> Neutral
  27  Biotech                                -3.31    -2.17    -4.38        —        —       +5     -2.18  Neutral -> Lagging
  28  Reits                                  -3.81    -3.43    -4.98        —        —       +5     -1.65  —
  29  Brent Oil                              -4.16  (-9.69)  (-9.78)        —        —       +4     -3.06  Leading -> Neutral
  30  Engineering And Construction           -4.21     3.49    -1.02        —        —       +1      2.16  —
  31  Crude Oil                              -5.00  (-9.47)  (-9.90)        —        —       +4     -3.03  Leading -> Neutral
  32  Agribusiness                           -5.24    -4.32    -6.72        —        —       +7     -3.08  Neutral -> Lagging
  33  Nuclear Power                        (-6.43)   [5.71]     2.14        —        —        0      2.75  —
  34  Uranium Mining                       (-7.47)     3.66     0.74        —        —        0      2.15  —
  35  Rare Earth/Lithium                  (-12.51)     3.66     0.93        —        —        0      0.06  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                      Leaders
                  Cybersecurity     10               7.0      70.00         155.62 FTNT, PANW, OKTA, QLYS, CRWD
                         Memory      4               4.0     100.00         144.04          SNDK, MU, WDC, SIMO
           Cloud Infrastructure      4               3.0      75.00         116.28              SNOW, DDOG, NET
                     AI Servers      2               2.0     100.00         108.21                    DELL, HPE
                AI Connectivity      2               2.0     100.00          93.38                    ALAB, APH
                  Copper Mining     12               5.0      41.67          89.78      NUE, MT, CRS, STLD, GGB
                        Banking    152              29.0      19.08          79.37 SEZL, PAYS, VCTR, CARE, AMTB
                  AI Networking      3               2.0      66.67          78.56                   ANET, CSCO
                       Software    174              31.0      17.82          78.14  DAVE, RNG, BLZE, APPS, FIVN
                Medical Devices    263              37.0      14.07          72.35 LQDA, ADPT, ETON, PGEN, AGEN
Private Wireless Infrastructure      1               1.0     100.00          68.62                         ATEX
                   Data Storage      1               1.0     100.00          62.38                          STX
                     AI Sensors      1               1.0     100.00          62.38                         OUST
        Semiconductor Equipment     20               4.0      20.00          58.91       GRMN, ICHR, AEHR, UCTT
                    Exploration    101              13.0      12.87          55.59       VG, PBF, OII, DK, PARR
                    Restaurants     25               4.0      16.00          51.35        EAT, CAKE, BJRI, CBRL
                        Telecom      9               2.0      22.22          47.33                   UMAC, VSAT
            Data Infrastructure      3               1.0      33.33          44.82                         NTAP
      Leisure and Entertainment     32               4.0      12.50          40.87         VIK, LIND, CRSR, LTH
                     AI Compute      3               1.0      33.33          36.96                          AMD

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
  DAVE                  Software              Leading         97     97.0125          2
  SEZL                   Banking              Neutral         98     93.4450          2
  SNOW      Cloud Infrastructure              Leading         99     93.2500          3
  FTNT             Cybersecurity              Leading         95     93.0625          1
  DDOG      Cloud Infrastructure              Leading         95     92.9000          2
  PANW             Cybersecurity              Leading         97     92.5125          2
  OKTA             Cybersecurity              Leading         97     92.5125          2
   NET      Cloud Infrastructure              Leading         95     92.3000          2
   CBZ                   Unknown  Unclassified Leader         98     91.9500          2
   RNG                  Software              Leading         98     91.5625          2
  BLZE                  Software              Leading         99     91.4625          3
  QLYS             Cybersecurity              Leading         95     91.0625          3
  APPS                  Software              Leading         98     90.9125          3
  CRWD             Cybersecurity              Leading         95     90.0625         4*
  FIVN                  Software              Leading         95     89.8625          3
  LQDA           Medical Devices              Neutral         98     89.7650          1
  PENG                  Software              Leading         90     89.4125          1
  NTAP       Data Infrastructure              Leading         97     89.3625         4*
  FSLY                  Software              Leading         95     89.2625          3
  PAYS                   Banking              Neutral         95     88.7450          3
  VCTR                   Banking              Neutral         90     88.5950          1
  PRCH                  Software              Leading         95     88.2625         4*
  EFOR                  Software              Leading         95     88.2625          1
  ADPT           Medical Devices              Neutral         97     87.5650          2
  ETON           Medical Devices              Neutral         99     87.4150          3
   VVX                  Software              Leading         90     87.1625          2
  TENB             Cybersecurity              Leading         90     87.1125          3
  PGEN           Medical Devices              Neutral         98     86.8650          3
    VG               Exploration              Neutral         90     86.0175          3
   VIK Leisure and Entertainment  Unclassified Leader         90     85.7500          2
   NUE             Copper Mining              Leading         90     85.6225          3
  CDNA           Medical Devices              Neutral         99     85.6150          3
  AGEN           Medical Devices              Neutral         99     85.6150          3
   PBF               Exploration              Neutral         99     85.1675          1
   OII               Exploration              Neutral         97     85.0675          3
  BFLY           Medical Devices              Neutral         99     85.0650          2
  TWST           Medical Devices              Neutral         99     85.0150          3
  CORT           Medical Devices              Neutral         99     84.7150          3
    DK               Exploration              Neutral         98     84.6175          1
   NEO           Medical Devices              Neutral         98     84.5150          2
  HNGE           Medical Devices              Neutral         90     84.4650          1
  PARR               Exploration              Neutral         98     84.1675          2
   TXG           Medical Devices              Neutral         99     83.8650          2
  IBRX           Medical Devices              Neutral         90     83.7150          2
  BLFS           Medical Devices              Neutral         95     83.6150          1
  DXCM           Medical Devices              Neutral         95     83.4150          3
  KNSA           Medical Devices              Neutral         90     83.3650          3
   VLO               Exploration              Neutral         95     83.2675          1
    GH           Medical Devices              Neutral         95     83.0150         4*
   WKC               Exploration              Neutral         95     82.9675          1
  ITGR           Medical Devices              Neutral         98     82.9650          3
  CLMT               Exploration              Neutral         97     82.7175          2
  DINO               Exploration              Neutral         95     82.5175          2
