

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-07-21

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY              N/A   -0.87   +2.00   +1.45  +11.81    0.67    0.64     +0.44     +0.46     +7.28
QQQ              N/A   -1.22   -0.66   -0.32  +17.04    0.80    0.74     -0.80     -1.43    +10.46
IWM              N/A   +0.26   +0.41   +4.35  +21.52    0.75    0.66     -0.01     +2.01    +12.35
DIA              N/A   -0.84   +0.95   +5.12  +12.13    0.77    0.64     -0.27     +1.61     +6.79

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ           0.35     2.66     1.77    -5.23
SPY vs IWM          -1.13     1.59    -2.90    -9.71
SPY vs DIA          -0.03     1.05    -3.67    -0.32
QQQ vs IWM          -1.48    -1.07    -4.67    -4.48
QQQ vs DIA          -0.38    -1.61    -5.44     4.91
IWM vs DIA           1.10    -0.54    -0.77     9.39

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Healthcare                            [8.05]     0.54     0.83        —        —       -2     -0.14  —
   2  Brent Oil                             [7.94]  (-3.01)   [8.23]        —        —        0     -2.78  —
   3  Exploration                           [7.81]     0.28   [7.67]        —        —        0     -0.51  —
   4  Pharma                                  6.59     0.98     4.32        —        —       +1     -1.02  —
   5  Crude Oil                               6.55  (-2.21)   [8.67]        —        —       +2     -2.29  —
   6  Biotech                                 5.46     0.13    -0.08        —        —       +2     -1.33  —
   7  Insurance                               4.80    -1.04    -0.42        —        —        0      0.03  —
   8  Regional Banks                          3.96    -1.57     3.30        —        —       +2     -1.19  Leading -> Neutral
   9  Banking                                 3.29    -0.86     1.60        —        —        0     -0.67  —
  10  Mlp                                     3.20    -1.08     2.16        —        —       -2      0.13  —
  11  Cloud Computing                         2.76    -1.57  (-3.58)        —        —       -3      0.27  Neutral -> Leading
  12  Reits                                   2.44    -0.46     3.47        —        —       -1     -0.25  —
  13  Transportation/Shipping                 2.10    -0.85     1.13        —        —       +3     -0.87  —
  14  Copper                                  2.01     3.32     5.48        —        —       -5      1.58  —
  15  Agribusiness                            1.75    -0.99     3.28        —        —        0     -0.47  —
  16  Media                                   1.68     0.30    -1.27        —        —       -1     -0.04  —
  17  Software                                0.48    -1.91    -1.28        —        —       -2      0.19  —
  18  Brokers/ Capital Markets               -0.04    -0.69    -0.27        —        —       -1      0.21  —
  19  Retail                                 -0.22    -1.98     1.55        —        —       +2     -0.93  —
  20  Leisure And Entertainment              -0.25    -0.21     0.22        —        —       -1      0.41  —
  21  Internet                               -0.53    -0.24  (-2.35)        —        —        0      0.34  —
  22  Timber                                 -0.60    -1.15     3.34        —        —       +3     -0.66  —
  23  Medical Devices                        -0.98    -0.22     1.15        —        —       +1      0.09  —
  24  Telecom                                -1.61     0.76    -1.64        —        —       -1     -0.72  —
  25  Natural Gas                            -1.84    -0.60     4.41        —        —        0     -0.94  —
  26  Semiconductors                         -1.94     2.72  (-2.44)        —        —       +1     -0.28  —
  27  Infrastructure                         -2.78    -0.72     0.56        —        —       -1     -0.63  —
  28  Artificial Intelligence                -3.58     2.40    -2.21        —        —        0      0.25  —
  29  Aerospace & Defense                    -4.26     1.63     2.35        —        —       -1      1.18  —
  30  Engineering And Construction           -4.73  (-3.64)    -0.83        —        —       +4     -2.72  —
  31  Copper Mining                          -5.57   [6.45]     6.80        —        —        0      2.64  —
  32  Uranium Mining                      (-12.86)   [4.18]     0.10        —        —       -1      1.68  —
  33  Nuclear Power                       (-13.35)   [3.56]    -0.09        —        —       +1      1.04  —
  34  Rare Earth/Lithium                  (-17.30)     0.17    -0.23        —        —        0     -1.04  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                      Leaders
           Cloud Infrastructure      4               4.0     100.00         152.90        DDOG, DOCN, SNOW, NET
                  Cybersecurity     10               6.0      60.00         138.36 FTNT, OKTA, PANW, QLYS, CRWD
                         Memory      4               3.0      75.00         119.10               MU, SNDK, SIMO
       Developer Infrastructure      3               2.0      66.67          80.87                   FROG, GTLB
                    Exploration    114              20.0      17.54          74.03      VG, PARR, DK, DINO, PBF
   Communication Infrastructure      1               1.0     100.00          68.62                         BAND
Private Wireless Infrastructure      1               1.0     100.00          68.62                         ATEX
       Fuel Cell Infrastructure      1               1.0     100.00          68.62                         FCEL
                   Data Storage      1               1.0     100.00          67.24                          STX
                     AI Sensors      1               1.0     100.00          62.38                         OUST
           Communications Cloud      1               1.0     100.00          55.45                         TWLO
                     AI Servers      2               1.0      50.00          54.38                         DELL
                        Banking    160              20.0      12.50          52.53 SEZL, PAYS, VCTR, IBKR, CARE
                AI Connectivity      2               1.0      50.00          49.44                         ALAB
                     AI Compute      3               1.0      33.33          45.28                          AMD
                Medical Devices    279              24.0       8.60          45.11 LQDA, HNGE, ETON, IBRX, ADPT
                         Pharma     11               2.0      18.18          36.14                    LLY, ABBV
      Leisure and Entertainment     39               4.0      10.26          34.06          RSI, LIND, LTH, VIK
              AI Infrastructure      5               1.0      20.00          34.04                         NBIS
              Business Software      6               1.0      16.67          30.82                        RCRUY

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
 SEZL*                   Banking              Neutral         99     93.8525          2
    VG               Exploration              Leading         90     91.9375          2
  OSCR                 Insurance              Leading         97     91.1125          1
  PARR               Exploration              Leading         98     89.5875          1
 PAYS*                   Banking              Neutral         95     88.6025          3
    DK               Exploration              Leading         98     88.5375          2
 VCTR*                   Banking              Neutral         90     88.4525          1
  DINO               Exploration              Leading         97     87.9875          2
 DAVE*                  Software              Neutral         97     87.9025          2
   PBF               Exploration              Leading         99     87.8375          3
  CEPL               Exploration              Leading         90     87.6875          3
  CLMT               Exploration              Leading         97     87.3875          2
  NESR               Exploration              Leading         90     87.2875          1
  DDOG      Cloud Infrastructure              Neutral         98     87.2400          3
   VLO               Exploration              Leading         95     86.8875          2
 DOCN*      Cloud Infrastructure              Neutral         95     86.8400          2
  SNOW      Cloud Infrastructure              Neutral         97     86.0900          3
   OII               Exploration              Leading         90     85.8875          3
   MPC               Exploration              Leading         95     85.6375          3
 LQDA*           Medical Devices              Neutral         99     85.2175          1
   LB*               Exploration              Leading         80     85.1875          3
   RSI Leisure and Entertainment  Unclassified Leader         90     85.1500          2
  FTNT             Cybersecurity              Neutral         97     85.0525          1
  PENG                  Software              Neutral         98     84.7025          1
    FA                  Software              Neutral         95     84.3525          3
  APPS                  Software              Neutral         99     84.3525          1
  LLY*                    Pharma              Leading         80     83.9825          3
  HNGE           Medical Devices              Neutral         98     83.7675          1
  EVER                  Software              Neutral         95     83.7525          3
   NET      Cloud Infrastructure              Neutral         90     83.4900          2
  OKTA             Cybersecurity              Neutral         97     83.4025          2
    MU                    Memory              Neutral         99     83.0975          1
   PSX               Exploration              Leading         90     82.8875          3
  PANW             Cybersecurity              Neutral         98     82.7025          3
 IBKR*                   Banking              Neutral         80     82.5025          2
  BLZE                  Software              Neutral         99     82.3525          3
   WKC               Exploration              Leading         90     82.2875          3
    BB                  Software              Neutral         97     82.2025          2
   STX              Data Storage              Neutral         97     81.9975          1
  QLYS             Cybersecurity              Neutral         95     81.9525          3
  CARE                   Banking              Neutral         90     81.8525         4*
  FROG  Developer Infrastructure              Neutral         95     81.3525          3
   SUN               Exploration              Leading         80     80.9875          3
  CRWD             Cybersecurity              Neutral         95     80.9525         4*
  SNDK                    Memory              Neutral         99     80.6975          1
  SKWD                 Insurance              Leading         80     80.3625          3
  VRNS             Cybersecurity              Neutral         95     80.1525          3
   AMD                AI Compute              Lagging         98     79.9875          2
  TENB             Cybersecurity              Neutral         95     79.7525         4*
  SIMO                    Memory              Neutral         98     79.5475          1
   EAT               Restaurants              Unknown         90     79.2000          3
