Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","37730.08","133.59","2133367","2.22","3.12","12.97","49.72","-10.91","6.73","22.83","157.2","110.24","186","Medical","Medical - Products","19.55","3"
"Alcoa","AA","12856.71","48.72","6521671",".08","-29.37","-30.81","36.69","-16.8","7.87","6.36","83.79","28.4","235","Industrial Products","Metal Products - Distribution","8.27","5"
"American Airlines","AAL","11283.23","17.06","139972128","-4.8","16.45","39.04","86.32",".99",".78",".64","18.15","10.18","173","Transportation","Transportation - Airline",".36","3"
"Acadian Asset Management Inc.","AAMI","2863.86","80.38","628463","9.97","3.45","21.04","94.79","55.19","11.49","22.65","82.72","37.79","153","Finance","Financial - Miscellaneous Services","13.78","1"
"Applied Optoelectronics","AAOI","9806.47","122.21","10631488","1.04","-29.27","-22.32","50.45","218.13","82.75","-3.91","223.1","19.49","42","Computer and Technology","Electronics - Semiconductors","-8.55","3"
"AAON","AAON","9030.77","110.25","867238","2.44","-14.3","20.52","50.12","31.21","20.11","7.45","148.25","72.07","43","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"Advance Auto Parts","AAP","3316.5","55","1537430","-10.61","-9.27","-2.93","58.56","27","-5.42","2.28","66.5","38.75","75","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Apple","AAPL","4644435.5","316.22","60736044","2.46","6.96","20.05","100","5.55","6.43","27.15","316.22","202.38","21","Computer and Technology","Computer - Micro Computers","27.15","3"
"American Assets Trust","AAT","1539.07","25.07","422080","-1.72","2.45","23.32","94.32","20.18","-4.73","4.16","25.51","17.76","102","Finance","REIT and Equity Trust - Retail","4.16","2"
"Allied Gold Corporation","AAUC","2930.85","23.16","439128","-5.85","-7.91","-27.42","56.68","-8.14","82.35","12.12","32.01","11.58","186","Basic Materials","Mining - Gold","-9.08","4"
"AllianceBernstein","AB","3431.66","36.74","303711","1.18",".93","-5.09","21.08","-13.36","1.24","9.19","42.88","35.1","181","Finance","Financial - Investment Management","6.69","4"
"ABB","ABBNY","191504.14","105.04","476794","-.82",".56","13.59","90.77","28.86","1.13","13.87","109.73","58.94","160","Industrial Products","Manufacturing - Electronics","13.86","3"
"AbbVie","ABBV","441539.22","249.91","8942850","-4.27","11.19","19.58","85.36","-.75","8.57","28.85","261.07","184.85","178","Medical","Large Cap Pharmaceuticals","5.79","3"
"Ameris Bancorp","ABCB","6040.17","89.76","613671","-.4","3.23","8.63","92.72","9.67","-.36","35","91.65","65.68","92","Finance","Banks - Southeast","25.73","4"
