Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","10028.51","76.97","2633616","15.95","20.51","115.42","100","322.97","5.25","-12.18","76.97","11.34","71","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","84944.64","164.71","2579366","1.14","-7.51","-1.94","55.21","-7.79","1.52","18.35","183.78","141.2","57","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","810.98","14.68","778315","8.82","-8.82","27.43","79.53","75.43","230194.59","-194.74","16.76","6.6","159","Medical","Medical - Drugs","-194.74","3"
"908 Devices","MASS","453.84","10.98","371631","17.43","6.09","22.27","98","87.45","-5.76","-27.88","11.1","5.09","92","Medical","Medical - Instruments","-56.96","3"
"A. O. Smith","AOS","7737.27","56.93","1240594",".39","-8.81","-6.87","4.66","-23.71",".32","13.6","80.47","55.78","64","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","1956.81","26.95","1104117","10.5","5.56","-22.42","48.24","36.54","11.03","23.3","38.11","16.55","78","Computer and Technology","Internet - Software","13.85","3"
"A2Z Cust2Mate Solutions Corp.","AZ","251.68","5.65","406541","-1.4","-17.88","6.81","14.36","-22.21","10.26","-241.67","8.81","5.12","78","Computer and Technology","Internet - Software","-241.67","3"
"AAON","AAON","6301.93","76.43","1044425","-.12","-5.46","-42.65","3.93","-10.16","20.11","8.29","148.25","73.49","31","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","4472.74","112.12","305031","-9.92","-15.31","-19.05","47.32","21.38","18.97","5.89","153.71","74.76","41","Aerospace","Aerospace - Defense Equipment","5.67","2"
"ABCELLERA BIOLG","ABCL","3903.16","12.73","4515837","21.7","10.03","91.14","100","233.61","160.56","-248.83","12.73","2.78","161","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2889.7","49.3","477130",".47","4.67","9.97","90.16","4.46","4.62","2.4","50.6","37.39","101","Business Services","Business - Services","1.82","3"
"ACADIA Pharmaceuticals","ACAD","4729.79","27.45","1259883","-1.05","-5.48","15.73","70.31","-7.89","11.87","9.31","30.57","20.06","161","Medical","Medical - Biomedical and Genetics","33.42","3"
"ACI Worldwide","ACIW","5166.89","51.18","692595","-1.52","-.76","9.69","58.54","-4.06","10.38","17.86","60.18","38.47","94","Computer and Technology","Computer - Software","12.4","1"
"ACM Research","ACMR","4381.83","67.77","766306","-6.38","-13.69","-36.58","39.19","53.97","15.24","10.69","126.89","29.67","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48","1"
"ACV Auctions","ACVA","1779.59","10.48","11945196","45.15","36.64","59.51","100","17.12","19.22","3.47","10.48","4.15","24","Business Services","Auction and Valuation Services","-7.88","3"
"ADEIA INC","ADEA","2748.18","24.92","790380","-5.27","-7.57","-17.97","60.21","29.48","17.91","44.9","33.63","11.74","153","Business Services","Technology Services","26.05","3"
"ADMA Biologics","ADMA","2004.66","8.95","1944359","-4.69","-8.3","2.64","10.56","-56.02","19.63","33.47","20.38","7.6","161","Medical","Medical - Biomedical and Genetics","32.98","3"
"ADT","ADT","5106.61","6.99","6016775","-.29","-5.16","10.95","27.17","-22.37","4.72","14.42","8.84","6.3","92","Industrial Products","Security and Safety Services","11.85","2"
"ADTRAN Holdings, Inc.","ADTN","578.52","7.1","1488844","-1.11","-9.67","-49.43",".49","-26.77","17.46","2.48","19.4","7.04","33","Computer and Technology","Communication - Components","-2.29","4"
"AECOM","ACM","8160.64","63.41","1972948",".83","-2.72","-9.6","3.23","-40.38",".21","6.7","134.35","61.04","101","Construction","Engineering - R and D Services","1.87","5"
"AES","AES","10594.56","14.85","7491612",".34",".54","1.3","49.06","-7.19","-.37","14.52","17.28","12.51","153","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","8513.76","121.57","1231349","-.3","16.87","2.28","54.99","4.45","-13.55","4.18","140.49","98.45","101","Industrial Products","Manufacturing - Farm Equipment","5.15","4"
"AGNC Investment","AGNC","11748.12","9.91","21316306","-2.75","-9.25","-6.69","8.87","-17.15","19.46","186.81","12.17","9.69","216","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","464.71","6.23","571197","-1.58","-6.03","-10.23","44.81","-15.65","-59.74","-1.97","7.56","5.15","98","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","232.88","7.38","380265","6.34","-10.44","9.82","10.7","-19.14","4.57","-23.86","20.15","5.85","153","Aerospace","Aerospace - Defense","-23.86","3"
"AMC Global Media Inc.","AMCX","485.51","11.77","500111","-2.49","-3.45","24.55","82.94","10.81","-4.52","1.69","12.85","6.52","162","Consumer Discretionary","Media Conglomerates","-.88","3"
"AMERISAFE","AMSF","457.29","24.67","374233",".04","-4.01","-22.5",".05","-42.43","2.66","11.73","44.71","24.66","227","Finance","Insurance - Accident and Health","14","5"
"AMETEK","AME","53706.85","234.32","1310818",".03","-1.99","-2.75","69.46","2.29","6.63","23.32","258.52","179.28","12","Computer and Technology","Electronics - Testing Equipment","20.04","2"
"AMN Healthcare Services","AMN","1338.12","34.55","552235","4.54","-.69","6.87","90.46","96.49","-8.49","3.97","36.6","15.1","101","Business Services","Business - Services","3.06","3"
"ANI Pharmaceuticals","ANIP","1731.73","75.39","368306","5.5","-2.5","-9.47","19.01","-14.4","43.78","18.68","97.55","70.19","161","Medical","Medical - Biomedical and Genetics","11.07","3"
"APA","APA","15926.98","45.46","4925529","2.09","2.41","36.03","92.43","66.58","-5.31","21.07","47.41","21.66","101","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48","3"
"APTIV PLC","APTV","9056.97","43.62","4634427","-4.53","-7.25","-29.61",".62","-48.62","3.47","8.45","88.67","43.34","153","Business Services","Technology Services","1.17","5"
"APi Group","APG","15994.25","37.01","3187988","-.99","-11.73","-11.2","21.38","-13.3","12.72","15.24","49.4","33.64","101","Business Services","Business - Services","3.99","3"
"ARM Holdings PLC Sponsored ADR","ARM","282934.06","264.9","3729645","4.22","5.66","-23.82","47.88","117.2","22.79","38.85","439.46","104.55","45","Computer and Technology","Electronics - Semiconductors","20.25","3"
"ARMOUR Residential REIT","ARR","2103.48","14.86","3383843","-6.13","-8.95","-13.3","15.98","-24.71","45.28","148.59","19.12","14.05","216","Finance","REIT and Equity Trust","44.9","3"
"ASE Technology","ASX","89389.09","39.99","5614687",".33","9.53","-4.44","84.93","122.62","11.82","8.52","45.12","11.08","45","Computer and Technology","Electronics - Semiconductors","8.52","2"
"ASHLAND INC","ASH","3195.86","69.77","565150","-1.32","-4.19","8.29","76.93","6.58","-13.68","8.19","76.45","47.49","100","Basic Materials","Chemical - Specialty","2.82","3"
"ASML Holding","ASML","640922.69","1629.67","1132076","-3.42","-6.89","-11.49","67.8","36.53","20.81","30.11","1989.44","872.27","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","30.11","3"
"AST SpaceMobile","ASTS","24404.69","62.71","8827716","4.67","-3.61","-4.43","24.05","-22.61","1505.21","-450.39","133.09","40.43","86","Computer and Technology","Wireless Equipment","-536.66","3"
"AT&T","T","173982.06","25.39","32185408","-.63",".95","13.25","54.19","-8.39","2.71","12.77","29.54","20.48","225","Computer and Technology","Wireless National","16.94","3"
