Ticker,Sector,Theme,Subtheme,ETF_RS_Raw,Theme_Class
MLPI,Energy,MLP,General,246.23383047830924,Leading
FTXL,Technology,Semiconductors,Chips,107.13258592461257,Leading
AIS,Technology,Artificial Intelligence,Robotics,106.2359091300892,Leading
EWY,Geographic,South Korea,Country Rotation,105.79335556561084,Leading
PSI,Technology,Semiconductors,Chips,105.01513328445748,Leading
FLKR,Geographic,South Korea,Country Rotation,98.71185474820145,Leading
SOXX,Technology,Semiconductors,Chips,93.13371824685852,Leading
SOXQ,Technology,Semiconductors,Chips,87.16784649292521,Leading
XSD,Technology,Semiconductors,Chips,85.69201953840187,Leading
SMH,Technology,Semiconductors,Chips,74.92812842324959,Leading
EMEQ,Geographic,Broad Emerging Markets,General,71.5409791260547,Leading
FLTW,Geographic,Taiwan,Country Rotation,65.68181931654675,Leading
IGPT,Technology,Software,Enterprise Software,63.93235129374337,Leading
XTL,Communication Services,Broad,General,62.17505824471959,Leading
EWT,Geographic,Taiwan,Country Rotation,60.12430322938589,Leading
CHAT,Technology,Artificial Intelligence,Robotics,59.67998823268509,Leading
PTF,Technology,broad,General,58.09208972473759,Leading
UFO,Industrials,Aerospace & Defense,General,56.80755898473828,Leading
XES,Energy,Equipment and services,General,54.84013119909502,Leading
WTAI,Technology,Artificial Intelligence,Robotics,53.86031105014385,Leading
TRFK,Technology,broad,General,53.228260124054906,Leading
ARTY,Technology,Artificial Intelligence,Robotics,53.192534988331396,Leading
OIH,Energy,Equipment and services,General,52.31728768153091,Leading
PSCT,Technology,broad,General,51.117729147303415,Leading
IEZ,Energy,Equipment and services,General,49.592475279187816,Leading
REMX,Materials,Rare Earth/Lithium,General,48.53600273908743,Leading
QTUM,Technology,broad,General,47.885570795615486,Leading
LIT,Materials,Rare Earth/Lithium,General,47.79418765258217,Leading
DTCR,Real Estate,REITs,General,47.38966519283746,Leading
BAI,Technology,broad,General,47.215284657097286,Leading
AIA,Geographic,Asia Developed,General,46.6656827379811,Leading
FRDM,Geographic,Broad Emerging Markets,General,46.31240829639889,Leading
PBW,Strategy,Socially Responsible,General,45.808386981064665,Leading
NXTG,Technology,Telecom,General,43.93984244364359,Leading
QCLN,Strategy,Socially Responsible,General,43.56147389039243,Leading
IDGT,Technology,broad,General,41.93966681268881,Leading
THNQ,Technology,Artificial Intelligence,Robotics,39.43671785714286,Leading
GEME,Geographic,Broad Emerging Markets,General,38.50560263566948,Leading
TAN,Strategy,Socially Responsible,General,38.48610346227316,Leading
EMXC,Geographic,Broad Emerging Markets,General,38.347914972514886,Leading
RSPT,Technology,broad,General,38.138203856152515,Leading
XNTK,Technology,broad,General,36.7434991986339,Leading
IXN,Technology,broad,General,36.17082195431471,Leading
COPX,Materials,Copper Mining,General,36.15253251303052,Leading
VOLT,Energy,Broad,General,35.993854388594954,Leading
PRN,Industrials,Broad,General,35.9756192224942,Leading
QTEC,Technology,broad,General,35.17335552863436,Leading
AIRR,Industrials,Broad,General,34.97896849834376,Leading
ICOP,Materials,Broad,General,34.675511466054445,Leading
EPU,Geographic,Peru,General,34.55828772242372,Leading
XCEM,Geographic,Broad Emerging Markets,General,34.47521140751307,Leading
PICK,Base Metals,Broad,General,34.11456322900993,Leading
SETM,Materials,Broad,General,34.046920860585196,Leading
DEXC,Geographic,Broad Emerging Markets,General,33.77085521280005,Leading
XME,Materials,Broad,General,33.580095301736826,Leading
RSPG,Energy,Broad,General,33.40986557435441,Leading
IYZ,Communication Services,Broad,General,33.1305925,Leading
DEHP,Geographic,Broad Emerging Markets,General,33.0775078898007,Leading
FXN,Energy,Broad,General,32.982847590286426,Leading
TTEQ,Technology,broad,General,32.69766848745046,Leading
IXC,Energy,Broad,General,32.473389719042665,Leading
AVXC,Geographic,Broad Emerging Markets,General,32.41404765923022,Leading
XLK,Technology,broad,General,32.366522957074714,Leading
XLE,Energy,Broad,General,32.22670675067286,Leading
ECON,Geographic,Broad Emerging Markets,General,32.19359259977673,Leading
VDE,Energy,Broad,General,32.154882219187435,Leading
FENY,Energy,Broad,General,32.126080277777774,Leading
EMCS,Strategy,Socially Responsible,General,32.07929194831829,Leading
ICLN,Strategy,Socially Responsible,General,31.579629280575546,Leading
IYE,Energy,Broad,General,31.476208219466546,Leading
FXZ,Materials,Broad,General,30.668479875444838,Leading
SEEM,Geographic,Broad Emerging Markets,General,30.621132828947367,Leading
AIQ,Technology,Artificial Intelligence,Robotics,30.605478770949716,Leading
AGEM,Geographic,Broad Emerging Markets,General,30.399409384164223,Leading
XOP,Energy,Exploration,General,30.19388646753051,Leading
FTXN,Energy,Broad,General,29.98779576246779,Leading
IEO,Energy,Exploration,General,29.560871749589296,Leading
MGNR,Materials,Broad,General,29.435973660270975,Leading
DFEV,Geographic,Broad Emerging Markets,General,29.22097274571034,Leading
FTEC,Technology,broad,General,29.153057391304344,Leading
AGIX,Technology,Artificial Intelligence,Robotics,29.125301804123715,Leading
JEMA,Geographic,Broad Emerging Markets,General,28.87667786359588,Leading
VGT,Technology,broad,General,28.77827511951775,Leading
IYW,Technology,broad,General,28.431077110490378,Leading
IGM,Technology,broad,General,28.25806743542435,Leading
AAXJ,Geographic,Broad Pacific,General,27.998795184384253,Leading
DRAM,Technology,Semiconductors,Chips,27.618332066054137,Leading
ALAI,Technology,Artificial Intelligence,Robotics,27.61530479939141,Leading
VPL,Geographic,Broad Pacific,General,27.589765894911785,Leading
EEMA,Geographic,Asia Emerging,General,27.543305689079638,Leading
EMGF,Geographic,Broad Emerging Markets,General,27.12187435582822,Leading
AVEM,Geographic,Broad Emerging Markets,General,26.765053491704375,Emerging
ENFR,Energy,MLP,General,26.593902456015215,Emerging
XSOE,Strategy,Socially Responsible,General,26.587483496240605,Emerging
ARKX,Industrials,Aerospace & Defense,General,26.298199184308842,Emerging
EEM,Geographic,Broad Emerging Markets,General,26.247277533714755,Emerging
GEM,Geographic,Broad Emerging Markets,General,26.055068659217877,Emerging
ESGE,Strategy,Socially Responsible,General,25.87869301670146,Emerging
JHEM,Geographic,Broad Emerging Markets,General,25.771007861154217,Emerging
MLPX,Energy,MLP,General,25.51433345298281,Emerging
DFAE,Geographic,Broad Emerging Markets,General,25.458565294117648,Emerging
NANR,Materials,Broad,General,25.30661839464883,Emerging
BBEM,Geographic,Broad Emerging Markets,General,25.289352666825742,Emerging
GRID,Utilities,Infrastructure,General,25.104763200387655,Emerging
EYLD,Geographic,Broad Emerging Markets,General,25.096642066512878,Emerging
KBWY,Real Estate,REITs,General,25.038980852017936,Emerging
IHE,Healthcare,Pharma,General,24.990987263955894,Emerging
