Company Name,Ticker,Market Cap (mil),Avg Volume,Last Close,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Zacks Industry Rank,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Operating Margin 12 Mo %,Net Margin %,Current ROE (TTM),52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Zacks Rank,Industry,Sector
"Agilent Technologies","A","37173.69","2574967","131.62","-4.21","16.75","18.05","-3.27","163","6.73","1.56","7382.1748","1837.12304","22.83","19.55","24.33","157.2","110.24","45.53","-8.88","3","Medical - Products","Medical"
"Alcoa","AA","17297.98","4302849","65.55","-18.93","-4.22","2.06","23.35","80","7.87","1.21","15651.13769","3996.77001","6.36","8.27","12.57","83.79","27.86","67.39","16.2","3","Metal Products - Distribution","Industrial Products"
"American Airlines","AAL","8875.79","80443040","13.42","-1.11","5.59","24.26","-12.46","204",".78","17.91","61940.69531","16677.86132",".64",".36","-9.11","16.26","10.18","53.29","-17.54","3","Transportation - Airline","Transportation"
"Applied Optoelectronics","AAOI","14052.92","12411790","175.13","-4.86","-21.5","89.06","402.38","50","82.75","16.19","988.29998","191.13299","-3.91","-8.55","-4.64","223.1","15.47","76.9","373.24","3","Electronics - Semiconductors","Computer and Technology"
"Advance Auto Parts","AAP","3579.41","2527252","59.36","3.92","20.5","20.26","51.04","177","-5.42","-5.26","8575.58593","2033.72497","2.28",".51","8.95","66.5","38.75","74.27","42.28","3","Automotive - Retail and Wholesale - Parts","Retail-Wholesale"
"Apple","AAPL","4282539","48185512","291.58","-6.02","-2.44","16.66","7.25","25","6.43","3.23","477952.4375","108707","27.15","27.15","146.69","315.2","195.64","80.24","1.03","3","Computer - Micro Computers","Computer and Technology"
"AbbVie","ABBV","397440.03","5096683","224.95","3.6","7.89","7.97","-1.55","83","8.57","1.57","67321.51562","16800.02343","28.85","5.79","-576.45","244.38","182.31","68.7","-7.26","3","Large Cap Pharmaceuticals","Medical"
"Airbnb","ABNB","77809.2","3553066","129.1","-3.36","-2.91","-1.55","-4.88","195","10.26","20.64","13974.92773","3581.82299","19.9","19.9","31.24","144.18","111.54","53.8","-10.4","3","Leisure and Recreation Services","Consumer Discretionary"
"Abbott Laboratories","ABT","155317.42","11158090","89.17","2.51","6.37","-17.81","-28.83","163","5.67",".27","50490.74609","12526.49707","20.26","13.9","17.62","138.08","82.56","11.91","-32.96","4","Medical - Products","Medical"
"Abivax SA Sponsored ADR","ABVX","7812.46","2832097","98.03","8.74","-19.59","-20.94","-27.31","153","","","3.7867","1.89999","","","-99.02","145.31","5.97","66.07","-31.52","3","Medical - Biomedical and Genetics","Medical"
"ACADIA Pharmaceuticals","ACAD","3638.76","1266841","21.25","-.84","-4.19","4.58","-20.44","153","11.87","24.27","1241.26501","293.82199","9.24","34.3","9.61","28.06","20.06","14.88","-25.06","4","Medical - Biomedical and Genetics","Medical"
"Arch Capital Group","ACGL","31902.76","2518652","91.31","3.89","-2.15","-1.68","-4.81","74","14.27","23.01","18200.12304","4598.45019","21.73","24.64","17.61","101.98","84.72","38.18","-10.33","3","Insurance - Property and Casualty","Finance"
"Acadia Healthcare","ACHC","2198.93","2271062","23.91","-7.07","-11.93","3.06","68.5","112","5.04","8.83","3406.80908","860.54602","5.31","-32.84","7.09","28.26","11.68","73.76","58.73","3","Medical - Hospital","Medical"
"Albertsons Companies","ACI","7556.49","6271500","15.28","-2.74","-7.62","-11.57","-11.01","159","3.46","3.76","82430.15625","18970.85546","1.45",".26","42.75","22.74","15.28","0","-16.17","3","Consumer Products - Staples","Consumer Staples"
"AECOM","ACM","8814.1","2541792","68.58","-5.29","-2.75","-23.93","-28.06","62",".21","5.63","7924.5498","2089","9.55","3.16","28.52","134.35","68.58","0","-32.23","3","Engineering - R and D Services","Construction"
"ACM Research","ACMR","4896.2","1777027","79.96","-10.02","23.49","71.59","102.69","232","15.24","40.81","1126.64001","266.902","10.75","9.48","4.17","92.86","23.92","81.29","90.93","4","Semiconductor Equipment - Material Services","Computer and Technology"
"Accenture","ACN","113457.98","4928577","170.5","-3.91","6.8","-12.63","-36.45","164","7.36","6.92","74097.36718","18530.44335","11.69","10.61","26.33","320.92","159.64","6.73","-40.14","3","Computers - IT Services","Computer and Technology"
"iShares MSCI ACWI ETF","ACWI","31605.03","2932532","152.24","-4.04","-2.34","8.97","7.6","112","","","","","","","","159.97","123.74","78.66","1.36","","Financial - Investment Funds","Finance"
"Adobe","ADBE","94332.2","5117313","233.38","-8.92","-1.14","-5.13","-33.32","153","10.53","11.14","26061.08398","6512.09912","37.64","29.48","64.48","416.26","225.35","4.21","-37.19","3","Computer - Software","Computer and Technology"
"Agree Realty","ADC","9071.37","1131390","75.53","4.86",".49","-4.48","4.86","159","16.42","21.02","817.60302","201.88099","30.76","29.25","3.95","81.92","70.22","45.38","-1.22","3","REIT and Equity Trust - Retail","Finance"
"ADEIA INC","ADEA","3402.56","2274796","30.85","-3.74","-2.74","32.8","78.84","156","17.91","-22.24","416.73498","96.07499","43.5","26.5","39.49","33.63","11.74","87.3","68.47","3","Technology Services","Business Services"
"Analog Devices","ADI","191264.47","5001585","392.67","-10.28","-9.19","27.25","44.79","6","16.89","5.53","14577.63476","3925.37304","38.18","26.01","14.37","437.67","220.68","79.26","36.39","2","Semiconductor - Analog and Mixed","Computer and Technology"
"Archer Daniels Midland","ADM","39173.43","3390834","81.28","-3.36","-1.94","14.69","41.38","112","-6.15","-1.41","85444.92187","22510.99023","2.07","1.34","7.37","84.11","47.9","92.18","33.18","2","Agriculture - Operations","Consumer Staples"
"Automatic Data Processing","ADP","92378.59","2548211","231.1","1.47","10.77","10.96","-10.16","83","7.07","7.82","21919.78515","5426.82812","20.16","20.12","68.82","318.57","188.79","32.6","-15.37","3","Internet - Software","Computer and Technology"
"Adaptive Biotechnologies","ADPT","2731.96","1838912","17.07","6.75","30.01","28.54","5.11","153","54.77","12.24","286.76199","67.23799","-28.24","-16.82","-40.06","20.46","10.14","67.15","-.99","3","Medical - Biomedical and Genetics","Medical"
"Autodesk","ADSK","46690.08","2371063","221.28","-3.62","-4.22","-10.95","-25.25","83","17.53","12.72","8177.00781","2008.29797","31.67","19.49","57.14","326.79","218.45","2.61","-29.58","3","Internet - Software","Computer and Technology"
